字段1_文本,字段3
中国年轻人崇尚美式文化，却怀有政治敌意,调查显示，中国年轻人往往接受美国的文化和生活方式，但在政治上，他们又自觉与官方立场保持一致，对美国缺乏信任和好感。
6名中国人被指控窃取硅谷商业机密,一名天津大学教授被指10年来窃取硅谷技术，在洛杉矶被捕，另外五名中国人也一同涉案，被美国政府指控，此为五名中国军方成员去年遭指控以来的最大动作。
美国驻华大使鲍卡斯正式上任,周二下午，美国新任驻华大使鲍卡斯向中国外交部递交了国书，并在美使馆会见记者。鲍卡斯称美中关系至关重要，必须处理好。
奥巴马拟定下一任驻华大使人选,据透露，奥巴马总统计划提名蒙大拿州民主党参议员、参议院财政委员会主席马克斯· 鲍卡斯担任下一任驻华大使。鲍卡斯曾努力深化中美关系，并接待过习近平。
习近平放弃韬光养晦推动大国外交,习近平近期一系列高调外交活动和公开讲话显示，他将积极推行让中国实现复兴的大国外交构想，渐渐远离邓小平的韬光养晦思路。
中美对“新型大国关系”态度微妙,奥巴马称欢迎中国崛起，但对习近平频提的“新型大国关系”并不热心，因为中方未澄清核心利益。面对“跛脚鸭”总统，习也无意送礼，因为他知道奥在余下任期已无法回报。
对抗还是妥协？中美贸易冲突给习近平带来挑战,特朗普的惩罚性关税政策使习近平陷入困境，若处理不当可能削弱他的政治地位。分析认为习近平一方面会与美国抗衡以展示决心，同时也会想办法避免更大冲突。
中美应该合作抵制象牙贸易,奥巴马与习近平会晤期间，应该讨论象牙贸易这个议题。遏制象牙贸易不需要付出很多，而带来的好处却极大，两位第一夫人也可以作出表率。
美国不愿为香港局势与中国失和,香港街头抗议声势浩大，美国领事馆出言谨慎。白宫无意改变奥巴马11月访华的计划。美国虽向中国提出香港问题，但仍希望在一系列重要事项上寻求与中国合作。
中国对美国进口高粱展开双反调查，贸易争端升级,中国商务部宣布对进口自美国的高粱发起反倾销和反补贴调查，美高粱恐面临高额关税。美国此前对太阳能电池板等征税。世界两大经济体间的贸易摩擦不断加剧。
斯诺登离港，北京如释重负,香港坚称其司法程序独立于北京，但包括人民大学国际关系学院教授金灿荣在内的知情人称，在允许斯诺登离港一事上，北京方面曾与香港进行协调。 
美中两国的网络活动可否相提并论,“棱镜门”发生后，中国官媒纷纷向美国发难。有观点认为，美国采取双重标准，指责中国从事网络间谍活动很虚伪。但有人认为，两者性质不同，风马牛不相及。
蔡英文：中国军事扩张影响区域稳定,蔡英文在年终记者会上强调，中国在东亚地区的军事扩张不止是台湾面对的局势，也是“整个区域的国家都共同面对的局势”。她还强调了台湾国防自助的决心。
简报：习近平高调访俄；刘强东案引发中国强奸文化讨论,中国重罚长安福特1.628亿元；朝鲜叫停著名团体操表演；政治高压下挣扎求生的香港独立出版商；各国领导人齐聚纪念诺曼底登陆75周年……简报带你速览今日要闻。
习近平会见中美商业领袖，重申深化改革承诺,习近平同时强调中国的主权和安全至关重要。中国正收紧对互联网和先进技术的限制，苹果等企业均受影响，这也加剧了跨国企业对其开放和改革承诺的怀疑。
中共宣传官员袁木去世，曾为“六四”镇压辩护,天安门事件发生后，时任政府发言人的袁木表示“没有一个人”在广场上死亡，并表示中国不怕外国报复。时任美国驻华大使曾称他是总理李鹏对付学生的“打手”。
简报：香港警方逮捕两名13岁抗议者；中美在太平洋角力,视频揭示香港警察假扮示威者血腥执法；中美贸易谈判持续进行；特朗普被情报官员投诉细节曝光；世界领导人齐聚纽约出席联合国大会……NYT简报带你速览今日要闻。
美在台协会新址低调揭幕，美方内阁级别官员缺席,台湾总统蔡英文及前总统马英九都出席了剪彩仪式，但美方派出的最高级别出席者是助理国务卿罗伊斯。美国在对台湾表示支持之际，也在避免与中国发生冲突。
中国回应康明凯事件，称其受雇于未备案NGO,2016年的一项法律规定外国在华NGO必须向警方登记。但官方并未正式宣布对康明凯的拘留，也未说明具体指控。外界普遍认为他的被抓与孟晚舟在加拿大被捕有关。
简报：中美就关税问题互相威胁；孟晚舟保释条款变更,美剧涉中国互联网审查片段被删；英国小王子首次亮相；美众议院通过加强台湾关系议案；特朗普动用总统行政特权阻止公开穆勒报告全文……NYT简报带你速览今日要闻。
白宫经济顾问将出售1600万美元工行股份,为避免利益冲突，领导全国经济委员会的经济顾问科恩正在出售约值1600万美元的工商银行股份。评论称考虑到中美关系，科恩出售股票的行为是明智之举。
安邦董事长吴小晖被警方拘留,安邦声明称吴小晖“因个人原因暂不能履职”。中国媒体称政府正对安邦集团进行调查。安邦近年来在全球大举开展收购活动，吴小晖遭羁押对中美均有重大影响。
中国军机近距离拦截美军侦察机,双方在东海上空遭遇，美方称中国飞机“不专业”地以过于靠近的方式飞行。专家称中国可能担忧美国监视其军事硬件和基地。去年中美军机数次空中遭遇。
特朗普解决朝鲜问题的筹码：中美贸易协议,特朗普发推称，若中国“解决朝鲜问题”，将获得更优惠的贸易协议条件。这实际上暴露了特朗普在处理朝鲜问题上的困境：只有中国才能切实约束平壤的行为。
特朗普对台湾的商业兴趣引人猜测,一个自称是特朗普公司“销售大使”的台裔美国人造访台湾桃园，和当地官员商谈投资事宜。如果特朗普真的打算在台湾投资，那么潜在利益冲突将让中美关系更加微妙难测。
简报：郭台铭参选台湾总统；明大女生诉刘强东强奸,抖音海外版在印度被下架；朝鲜测试新武器；秘鲁前总统自杀身亡；中国一季度GDP增长6.4%；穆勒报告删减版将被公布……NYT简报带你速览今日要闻。
简报：FBI禁部分中国学者访美；澳洲穆斯林吁向中国施压,中国重新评估“一带一路”项目；“熊猫外交”在丹麦引发争议；香港金像奖《无双》横扫七奖；特朗普宣布美国5G频谱部署计划……NYT简报带你速览今日要闻。
中美批准巴黎气候协议,G20开幕前，奥巴马和习近平宣布中美两国正式批准巴黎气候协议，增强了两国在该领域的合作，也在中美关系频频出现波动的时期，展现出罕见的和谐。
香港“反送中”催化台湾社会红色恐惧,台湾人对统一支持度大减，连带国民党澄清不支持一国两制，而蔡英文连任声势看涨。反红媒、拒喝抵制，无不反映出台湾社会对红色渗透的担忧。
特朗普来了，习和安倍怎么应对？,如果特朗普把经贸问题和台湾问题、中美贸易和朝鲜问题挂钩，北京该怎么办？因为特朗普可能采取的政策而成为牺牲品的日本，又该怎么办？日本要如何把特朗普拉回TPP？
中国外交部反驳“激进伊斯兰主义盟友”说,特朗普的国家安全顾问弗林称美国必须领导反对“激进伊斯兰”的全球性运动，将中国列为伊斯兰激进派的盟友，外交部发言人陆慷对此予以反驳，呼吁“尊重事实”。
蒂勒森与习近平会面，强调美中合作,蒂勒森在公开场合礼貌地强调“合作共赢”，但分析认为他在私下向中国严厉施压，要求加强对朝制裁。两人会面前数小时，朝鲜宣布成功测试新导弹发动机。
简报：中国海外异见人士遭抹黑；中美谈判结果对谁有利,凉山山火致30名灭火人员遇难；沙特阿美成全球最赚钱公司；英国议会再度否决脱欧替代方案；金正男遇害案宣判；新加坡拟立法打击“假新闻”……简报带你速览今日要闻。
简报：台湾谴责中国“越线”；习近平的权力稳固吗？,美国影响力减弱，意大利牵头欧洲转向中国；拜登回应对女政客“不当行为”指控；澳大利亚新西兰考虑制定新法规管制社交媒体……新闻简报带你速览今日要闻。
如何把中国历史教科书翻译成英文,"当一群中外学生尝试翻译中国历史课本时，他们发现，语言并非最大屏障，学校阶段被灌输的历史“事实”，以及基于这些“事实”而形成的身份认同，才是交流的严重障碍。
"
中国向哪里去？李锐等老改革派的一次聚会,日前的生日聚会上，毛主席原秘书李锐同鲍彤、杜导正谈起，多年来共产党怎么回事？“我想大家都想搞清楚，否则就没有今天这样一个聚会。” 
习近平在欢迎宴会上演讲全文,习近平在西雅图演讲中表示，中国将继续推进反腐败斗争，坚持“老虎”、“苍蝇”一起打。他还谈到了纸牌屋和海明威的《老人与海》。
与中国打贸易战，特朗普手里有多少弹药？,如果特朗普实践他关于中美贸易战的竞选言论，他可以从中国钢铁下手，报复他所认为的不正当竞争。中国也可以通过惩罚美国企业进行报复。结果可能两败俱伤。
中国转向出口以抵消国内经济颓势,中国央行过去一周推动人民币汇率稳步走低，以助力企业出口，同时房地产热亦呈现放缓迹象。中国企业重新转向海外市场已成定局，但可能令中美关系更加紧张。
简报：两会突显中国经济焦虑；美国商界反思贸易战,学者谈中国改革困境；移民数量激增，特朗普“边境墙”议程受阻；原云南红塔集团董事长褚时健逝世；全球第二起HIV感染者治愈病例可能出现……简报带你速览今日要闻。
巾帼英雄还是反华悍妇？中国人眼中的希拉里,希拉里·克林顿在自由与人权问题上直言不讳地批评中国，男性政策制定者多数对她没有好感。在女权主义者和自由主义者眼中，她是一个值得钦佩的女性政治家。
中国正想要这样的特朗普,在意识形态方面，中国正积极追求同美国的竞争。特朗普对民主制度的支持有气无力，给了中国打开局面、走向世界“舞台中央”的好时机。
北京冬奥会官方歌曲被指抄袭《冰雪奇缘》主题曲,北京冬奥会公布的10首官方歌曲中，由歌星孙楠和谭晶演唱的《冰雪舞动》被指抄袭《冰雪奇缘》插曲，引发国内外网友批评。
反华情绪蔓延，新一轮红色恐慌侵袭华盛顿,冷战时期的外交政策组织复活。从白宫、国会到联邦机构，对中国的恐惧已在华盛顿蔓延，官员将北京的崛起视为经济和国安威胁，以及21世纪的决定性挑战。
乌克兰冲突让中国受益,中俄问题专家认为，乌克兰危机中国得了实惠。中俄达成天然气交易，军火贸易也有望实现。但西方也不必担心出现“中俄轴心”。
腾讯雇员疑因批评网络审查被解职,张贾龙今年2月以博主身份与美国国务卿克里会面，期间他直率地批评了中国对网络言论的监控审查。张贾龙上周被迫从腾讯财经离职。
FBI警告美国青年别被中国政府利用,美国联邦调查局根据真人真事改编的一部短片，要求来中国的美国留学生警惕中国政府的间谍活动，以免被利用。片中人物被控阴谋获取国家机密获刑四年。
华为和中兴谋求扩大海外手机市场,华为和中兴都希望增加全球智能手机市占率。近期贸易展上，两家公司展示了各自新品。关于美国市场的不信任，他们也有自己的计划。
早报：拉美的中国航天测控站；时报出版人驳特朗普,中国“我也是”运动发酵；时报出版人与特朗普会面，指其言论危险；香港取消“旺角行人专用区”；柬埔寨大选洪森无悬念连任......新闻早报带你速览今日要闻。
美国国务卿改口，称斯诺登事件不影响美中关系,美国国务卿克里在东盟外长会议上缓和了早先关于斯诺登逃离香港的态度，称此事不会破坏与中国的关系。中国与邻国领土争端是东盟会议的重要议题。
解放军指美在网络安全上言行虚伪,周四，中国国防部发言人指责美国在网络安全方面言行虚伪，采取双重标准。这是中国官方在斯诺登泄密后对此做出的最严厉批评，外交部之前的回应相对温和。
中美峰会前夕中国准许胡志成返美,美籍华裔工程师胡志成近日将获准返美。此举被看为是习近平在访美前对美释放出的友善信号。胡志成在中国或因得罪有背景的商人，长期无法离境。
朝鲜特使访华，时机选择耐人寻味,朝鲜高层崔龙海周三访华。分析人士称，朝鲜或担心中美的高层会晤。习近平和奥巴马下月将在加州会晤，朝鲜必将成为议题。
内忧外扰并不妨碍习近平强势访美,虽然中国经济放缓、股市危机等问题可能会使习近平的权威在国内受到影响，但分析认为，习近平此次访美仍将保持强硬姿态。
中共十九大日期敲定，习近平或继续扩权,十九大将于10月18日在北京召开，预计将批准习近平的第二个任期，选出新的政治局常委。习还有望将自己的意识形态写入党章，并可能为延长任期做准备。
在华外国NGO担心未来凶多吉少,根据中国新国家安全法草案，外国非政府组织一切活动都将受公安监管。国际NGO组织担心活动难以开展，甚至可能不得不离开。
简报：中美高层贸易谈判在即，美司法部正式起诉华为,人权律师王全璋获刑四年半；杜克大学就教授“邮件门”致歉；星巴克前CEO宣布参选美国总统；新加坡1.4万名HIV感染者资料被泄露……新闻简报带你速览今日要闻。
中国主权基金要求美国政府降低市场准入门槛,资产8000亿美元的中投考虑押注美国的基础建设领域，但面临来自美国政府的监管阻力。中资大量涌入引发对中国政府影响力的担忧，中方则称遭不公平对待。
库什纳，朝鲜与白宫的秘密联系人？,美国金融家舒尔茨称，去年朝鲜曾通过他与库什纳联系，探索“特金会”的可能性。朝鲜认为库什纳能影响特朗普，这并不是库什纳第一次在国家安全敏感问题上介入私下渠道。
简报：中美贸易谈判进展；垃圾食品如何影响中国,美国两党对峙加剧；2019年CES展开幕；多国驻澳大利亚使领馆收到可疑包裹；李克强会见特斯拉CEO马斯克；世界首富贝佐斯离婚……新闻简报带你速览今日要闻。
简报：台湾警惕习近平统一论；揭秘中国网络审查工厂,中美贸易谈判将至，特朗普派强硬派代表领衔“应战”；苹果下调营收预期；500万印度女性齐声抗议性别歧视；美国迎来分裂政府第一天……新闻简报带你速览今日要闻。
特朗普的言论让全球领导人心烦意乱,即将就职的特朗普在采访中再度语出惊人，他称北约“已经过时”、对欧盟提出批评，还挑战“一个中国”的政策。这些言论让各国紧张不安，唯一的例外是俄罗斯。
简报：解码华信掌门人叶简明；英国首相避免下台危机,前加拿大外交官康明凯遭北京国安局审查；美国将加大对中国黑客打击；中国异见诗人孟浪于香港病逝；“金正恩面膜”在韩国下架……新闻简报带你速览今日要闻。
国内经济放缓，中国政府克制处理与美国紧张关系,受经济放缓影响，中国政府对孟晚舟被捕事件做出谨慎回应。而贸易战、外国投资减少的前景也从内外部给习近平造成压力，这使中国在与美国进行贸易谈判时受到制约。
简报：孟晚舟获保释；前加拿大外交官在中国被捕,《时代》周刊2018年度人物揭晓；特朗普威胁关停美国政府；台湾面包店陷“台独”风波；中国证实将与美国开启新一轮贸易谈判……新闻简报带你速览今日要闻。
刘鹤访美，力图避免中美贸易战爆发,习近平最高经济顾问刘鹤访美，试图化解中美之间迅速升级的紧张关系，推动重启经济会谈。但其此行任务艰巨，特朗普政府似乎不愿与中国打交道，并可能对华采取严厉制裁。
简报：华为CFO在加拿大被捕；“关税人”扰乱全球市场,Facebook再曝数据丑闻；美国为老布什举行国葬；中国风投寒冬来临；古巴全面开放手机上网功能；CBS前总裁不正当性行为细节曝光……简报带你速览今日要闻。
无视北京警告，美国重申对台湾防务承诺,在习近平发出严厉警告，称中国对台湾的主权不容挑战之后，美国国务院官员重申了对台湾的防务承诺，称美国的目标是确保台湾人民能够捍卫民主，不受胁迫。
“习特会”后中美暂停贸易战，分歧犹存,特朗普做出让步，推迟加征新关税；中国则承诺增加购买美国商品。双方将在未来90天展开谈判，以求达成更广泛的协议，但能否弥合根深蒂固的分歧仍不可知。
简报：贸易战中美口径不一；学者向习近平提忠告,卡塔尔宣布退出OPEC；斯里兰卡政治危机升级；俄罗斯“联合号”火箭顺利升空；46名中国工人在日本失踪；杜特地失言再引争议……新闻简报带你速览今日要闻。
早报：易纲将任中国央行行长；揭秘间谍暗杀工具,特朗普称“通俄门”调查为党派攻击；普京连任几无悬念；柬埔寨首相拒绝西方转而亲中；新加坡连续五年成全球生活成本最高城市......新闻早报带你速览今日要闻。
谎言、毛泽东，和一部魔盒一样的神剧,美国华裔作家陈纪东的剧作《逮捕》包含许多相互交叉的主题：真实与虚构之间的模糊界线、文化剽窃、中国的审查制度以及美国人对中国的各种看法。
简报：中美走向对抗；贺建奎为基因编辑婴儿辩护,中美贸易战或现转机；新西兰禁止华为参建5G网络；全球学者抵制中国马克思主义大会；“海绵宝宝”创作者去世；歌手陈羽凡吸毒被拘……新闻简报带你速览今日要闻。
被美国忽视的间谍活动威胁：中国,对俄罗斯干预大选的关注掩盖了中国间谍活动对美国造成的重大损害。CIA内奸案说明，中国更为耐心、熟练地渗透了美国的情报机构。
简报：回溯中国改革40年；杜嘉班纳陷辱华风波,"被中国“重写”的好莱坞剧本；特朗普曾拟命令司法部起诉希拉里和前FBI局长科米；里根号航母停泊香港；郭文贵与班农合作欲调查中国政府……简报带你速览今日要闻。
"
简报：“莆田系”医院发迹史；中美争夺太平洋,特朗普将向习近平重提对朝制裁；美议员敦促特朗普回应中国拘禁维族穆斯林；英国两内阁大臣辞职，政府陷入动荡；加拿大“卡戴珊姐妹”……新闻简报带你速览今日要闻。
美商务部拟对中兴实施技术出口限制,美方称中兴违反美国的出口法规，向伊朗销售管控物品。此举可能是为了向中国施压，促使其配合旨在遏制核武器扩散的贸易禁令，而并非刺激本就紧张的中美技术贸易关系。
美国，中国人又爱又恨的“外部敌人”,在国家宣传的影响下，中国人对美国的态度矛盾而极端。中国政府将美国塑造成强大而心怀恶意的外部敌人，从而维护自身的合法性。
日韩慰安妇协议遭两国舆论批评,韩国慰安妇幸存者拒绝接受非战争赔款形式提供的资金，部分民众则不满赔偿金额；朴槿惠的政治对手攻击她“叛国”。安倍也受到极右翼选民的批评，但也可能收获温和派支持。
在中美之间，东盟国家选择骑墙,马来西亚等东南亚国家对中国崛起存有戒心，但也并不愿彻底投入美国怀抱，与中国决裂。这种“骑墙”政策很适合摄乎大国之间的小国。
731部队罪证陈列馆和一段残酷历史,研究陈列部主任高玉宝接受采访，称修建该馆意在还原日本生物战罪行和美国姑息隐瞒的真相，强调不会出于政治考虑歪曲历史。
伊核协议不完美但很必要,美国努力将伊朗核能力限制在民用，而不是将之销毁，因为那是不可能的。10年协议能为双方赢得时间，建立正常关系。
中国大阅兵是否邀请普京观礼？,中国将于9月举行纪念抗日战争胜利阅兵式，还将邀请外宾登上天安门观礼，普京几乎肯定会出席。美国人则将回避这场阅兵式。
“纸牌屋”吗？解读中国人眼里的美国大选,几位留美年轻学者在大选之际制作播客，试图以专业学识解释美国政治的细微之处。在采访中，其中一位谈到多数中国人不喜欢希拉里、华人越来越喜欢共和党等问题的原因。
奥巴马莫对习近平时代的中国示弱,让我们这些热爱中国的外国人日益失望的是，习近平治下的中国比以前更强硬，政治管控更严厉，民族主义倾向更强。奥巴马此行不可示弱。
中国要求美国应停止对华抵近侦察,美国国家安全顾问赖斯周二结束访华，为11月北京“习奥会”打前站。中央军委副主席范长龙要求美国停止舰机抵近侦查。与此同时，前总统卡特在中国受冷遇。
克里呼吁美中求同存异展开合作,美国务卿克里在北京努力强调美中关系的积极因素，称两国在地区和平、气候变化等领域有广阔的合作空间。他还称美国无意反制中国。
克里敦促中国缓解争议海域紧张局势,"中美高层战略与经济对话开幕，习近平强调中美合作。克里在闭门会议中敦促杨洁篪，在南海及东海避免单边行动，缓解地区紧张。


"
陈光标继续尝试收购《纽约时报》,善于吸引眼球的中国富豪陈光标半年内二次赴美，表示仍计划收购《纽约时报》。纽约时报公司发言人明确表示，时报无意对外出售。
美国不该插手中日东海之争,中日东海主权之争，美国需要做的是袖手旁观，而非采取行动。钓鱼岛实际的战略或经济价值很有限，不值得为此而破坏世界三大经济体的关系，是时候把争议搁置了。
中国外长王毅就领土争议强硬表态,王毅在中国“两会”期间一场记者会上表示，中国在日本问题上“没有妥协的余地”，对待与东南亚国家的海洋争议“绝不接受以小取闹”。
中国的繁荣归功于慈禧太后？,张戎新书《慈禧太后：启动现代中国的皇妃》为西太后平反，称她是坚定的改革者，开中国现代化之端。作者能接触到大量史料，自称持论公允。学界对这部慈禧传持谨慎态度。
美国华裔族群的亚文化圈,"在ABC这个大概念下，不同的美籍华裔小孩由于成长环境和社交圈子的熏陶感染，也会呈现出截然不同的文化身份特征。
——刘邓扬，北京"
指责俄罗斯并不解决美国自身问题,美国人谴责俄罗斯，一部分是冷战思维的延续，另一部分是美国外交的无能激起了失望情绪。归咎于俄罗斯不能解决问题，美国还需处理好自己的事。
习近平会见“老朋友”朴槿惠，重点谈朝鲜,韩国总统朴槿惠来华，与称她为“老朋友”的习近平会谈。朝核是的主要议题，中韩可能在半岛无核化问题上达成共识。朴槿惠会说中文，仰慕中国文化，这对她此行很有帮助。
贸易战后，华人特朗普支持者变心了吗,王湉是“华裔北美川普助选团”的带头人。他在采访中谈到，中美贸易战为何是双赢，华人的价值观跟特朗普何其接近，为何美国对华人的疑虑无需担心。
中国政治打压范围扩张至海外,台湾活动人士李明哲在大陆被捕、瑞典公民达林在中国被羁押，类似事件频繁发生。批评者称中国正肆无忌惮地在全球扩大打压范围，遏制所谓的海外势力威胁。
朝鲜宣布暂缓兑现轰炸关岛的威胁,针对特朗普的威胁言论，朝鲜曾扬言将在8月中旬用导弹轰炸关岛周围水域。平壤周二放出了缓和信号，称将暂缓执行。下周美韩按计划将举行联合军演。
爱国还是卖国：我的课堂是否被政治正确绑架 ,"中国该不该放弃朝鲜？日本军国主义会复活吗？美国世纪即将结束？在中国东北一所大学执教的日本作者用这些问题来测试他的学生是否被某种官方的“政治正确”所绑架。
"
“双赢”难免成虚话，中美翻脸比翻书快,习近平访美之后形成的短暂友好关系最近迅速瓦解。就在中国对美国牛肉解禁后不久，美国宣布对台军售和制裁与朝鲜有非法交易的中国公司，激怒了中国。
习近平和特朗普的蜜月可能快结束了,中美之间暂时的友好关系建立在习近平帮特朗普管束朝鲜的基础上，但在这方面，白宫认为中国的努力未见成效。中美在贸易、南海等问题上会再起摩擦吗？
寄望于习近平，特朗普在朝鲜问题上押错注?,特朗普认为在约束朝鲜方面，习近平会是他的伙伴，希望中国加强对朝施压。但目前为止中国没有采取有效行动，这让特朗普政府在处理朝核问题时无计可施。
中兴“起死回生”背后：花费重金在华盛顿游说,为避免破产的命运，中兴选择了一种非常美国式的解决办法：游说。中兴在三个月里花费近140万美元，大举聘请华盛顿说客，最终说服国会放松了对它的处罚。
不讲中文的“赵氏孤儿”：导演陈士争的颠覆与回归,阔别中国公众舞台二十多年后，戏剧导演陈士争将带着《赵氏孤儿》和《霸王别姬》的改编版本回归北京。他期待颠覆观众的期待，打造既有解放性，同时也很酷的新经典。
特朗普和习近平的兄弟情谊注定难持久,特朗普多次公开赞扬习近平，但分析认为，这种表面的亲热难以克服中美之间深刻的分歧。朝鲜问题上，特朗普很难通过与习近平套近乎换来他想要的东西。
朝鲜危机当头，美国不愿在南海挑战中国,朝鲜每发射一次导弹，特朗普对习近平的好感就会增加。他曾在竞选中指责中国在南海兴建岛屿，批奥巴马软弱。如今，美国军舰已不再靠近争议岛礁。
中共领导如何忽视自己的改革经验,"“两会”召开之际，中国面临着充满不确定性的困境。“中国模式”专家洪源远认为，政治自由空间的收缩阻碍了政府的创变力，但改革开放的经验提供了面对当前危机的思路。
"
中美贸易冲突升温之际，福特向中国出口皮卡,尽管两国存在贸易不平衡，但中国消费者对美国品牌表现出了持久且利润可观的需求。中国政府也放松了对皮卡的限制，以推动消费。此外，相对低廉的税费也更吸引消费者。
佛州晚宴上，习近平被告知美国空袭叙利亚,习近平与特朗普的首次会晤成了美国向中国领导人展示军事实力的场合。特朗普一边款待客人，一边告知对方美国已经空袭了叙利亚。据说习近平听后表示理解。
中国是时候抛弃委内瑞拉了,支持委内瑞拉曾为中国带来外交红利。但如今马杜罗政府四面楚歌，中国若没有远见放弃这个腐败无能的魔鬼，就可能重蹈在利比亚的覆辙。
特朗普成了中国眼中的纸老虎,特朗普曾宣称要拿台湾作为与北京打交道的筹码，与蔡英文通话也激怒了中国。但上周特朗普的态度大逆转，承认了“一个中国”原则。他的强硬形象大打折扣。
中国压力下，蔡英文努力维护中美洲邦交,与台湾保持外交关系的国家正在减少。这些国家中，不少都在中美洲。当海峡两岸关系缓和时，这些国家周旋于台北和北京之间，两面获益。但那个缓和期如今已经过去。
中国抗议美参议员克鲁兹会见蔡英文,蔡英文过境美国时与参议员克鲁兹等会面，谈及军售外交，遭中方抗议。分析称蔡英文意在谋求与共和党建立更深联系。克鲁兹称中国无权干涉美国与谁会面。
中国航母进入南海争议海域，挑战特朗普,中国唯一的航母辽宁舰本周编队在台湾和日本海岸附近巡逻。分析人士称此举是对特朗普批评中国的回应，传达的信息是：中国会奉陪到底。
尼克松见毛泽东之前记了笔记，特朗普呢？,1972年，尼克松在与毛泽东举行历史性会晤之前记了笔记，把两国的历史、政治和战略提炼为几个要点。假设特朗普也准备了一份笔记，上面会写些什么呢？
亲爱的美国，你为何让我们失望？,我不是美国人，却是在“美国世纪”长大的那一代。我们对美国文化耳熟能详，而且会继续喜爱其中的精髓。但特朗普让我为我们的未来担心。
特朗普选定习近平的“老朋友”任驻华大使,艾奥瓦州州长布兰斯塔德与习近平有私交，同时又是特朗普坚定的支持者。中国对这一选择表示欢迎。严厉指责中国经济政策的特朗普似乎有意缓和关系。
对“特朗普总统”，时报华人读者有话说（一）,中国读者对特朗普当选后的国际政治格局和亚洲地区事务充满关切，同时有人担忧国内政治高压会进一步加剧。也有人期待特朗普能更深入地了解中国，改善两国关系。
特朗普当选对亚洲是福是祸？,特朗普竞选中提出的亚洲政策曾引发日韩等国担忧。如果美国真从亚洲抽身而去，是否将诱发区域军备竞赛？另有观点认为，特朗普当选对中国意味着战略机遇。
特朗普对华态度放软，称愿重新考虑对中兴处罚,特朗普称他正与习近平合作，愿重新考虑对中兴的处罚，以防止该公司倒闭。此举缓解了美中之间的贸易紧张局势，也表明两国若陷入技术冷战将面临棘手的局面。
大选年反华言论如潮，阴云笼罩中美峰会,习近平再次访美之际，正值美国总统选举鏖战正酣，两党候选人争着向中国放出狠话。相比之下，奥巴马可能是中国人所能遇到的最友善的美国总统了。
裴敏欣：腐败将迫使中国结束一党专政,政府学教授裴敏欣指出，由于意识形态衰退和统治精英的腐败，中共的一党专政到2030年时将无法持续。有限的民主化改革和激进的“革命式改革”将改变中国。
白杰明：要读懂“习大大”，得先理解“毛爷爷”,中国专家白杰明称习近平时代融合了统治国家的各种“黑魔法”，习本人渴望成为毛泽东那样玩弄帝王传统的专家，却缺少领袖魅力。中国的民族主义失控多年。
中国鹰派大校刘明福谈中美地缘政治较量,中国军方鹰派学者刘明福主张中国应增强军事实力与美国抗衡。他的《中国梦》发表于2010年，习近平上台后提出了中国梦的口号。
美国前财长保尔森谈如何与中国打交道,保尔森的新书回顾了他与中国领导人的接触和中美高层政治风云。访谈中他谈到亚投行、TPP，也评论了印象中的习近平和王岐山。
中国造埃博拉救命药卷入专利纠纷,美国和加拿大持有专利的ZMapp药物治疗埃博拉效用显著却极稀缺，北京一家小型制药公司几乎原样复制了该药，却涉嫌侵犯专利。
冷战模式重启，美国怎么办？,西方联合制裁俄罗斯，中美在南海展开博弈，新冷战模式下，美国应该拿好胡萝卜和大棒，因为美国经济健康发展是维持全球稳定的关键因素。
纽约华人老店的前世今生,1971年开业的珠江百货因付不起高昂租金将于年底关门。店主程明怡和朱敬业夫妇给在店里工作的新移民提供了更好的生活。他们即将告别这个承载了许多历史的温馨之地。
中美同意取消多项高科技产品关税,美国政府宣布，中美扩大信息技术贸易协议的谈判取得突破，双方同意取消逾200个门类的产品关税。这可能是奥巴马此次访华的最实质性成果。
中国新一轮反西方舆论战争中，我成了靶子,毛时代的中国，一切西方的都被批判。邓小平的实用主义改变了中国对西方的态度。但习近平上台以来，反西方舆论再次盛行，我作为一名驻华记者也躺着中枪。
美国对中国幻灭：习近平持续掌权或加剧两国冲突,习近平试图无限期掌权，这打破了华盛顿对于中国正逐渐与美国融合、两国应努力控制冲突的共识。中国与西方民主背道而驰，很多人认为两国冲突将不可避免。
美海军上将登上中国航母，中美海军在猜疑中接触,美国海军作战部长格林纳特上周登上了中国航母辽宁舰，两国海军合作迈出了象征性的一步。同时，中美在亚太的竞争正在加剧，中国首次参加环太平洋军演也引发了争议。
哪些问题不准出席李克强记者会？,每年，中国总理在人大闭幕后会见记者并向世界直播，这其实是和很多西方媒体合演的一出戏。记者的问题须经事先沟通和批准，今年关于周永康和昆明惨案的问题便被排除。
亚洲国家平静面对本轮美债危机,这一次，包括中国在内的亚洲国家没有高调表达对美国债务违约的担忧，市场的反应也很平淡。各方不认为美国真的会违约，对华盛顿的闹剧也渐渐习以为常。
中国政府能否淡然面对经济放缓？,对于经济放缓、进出口疲软，中国政府表现镇定，总理李克强表示宏观调控要立足当前、着眼长远，下周一将出炉的GDP数据将再一次考验政府的态度。
走进安纳伯格庄园，习奥轻松会晤之所,安纳伯格夫妇营建的加州豪华庄园曾接待多位政要。其内部陈设着中国古代瓷器、雕塑及景泰蓝，定能让北京的客人感到宾至如归。
