字段2,字段3
"
中欧关系落到冰点 人权是不可回避的问题
","在另一方面，几名被中国外交部列入制裁... 美中关系近年来冲突不断，而中欧关系近年来发展似乎相当顺利，中国去年首次取代美国成为欧盟最大贸易伙伴，双方在历经长达7年、35轮谈判之后，去年底刚刚签署了极具里程碑意义的中欧投资协定... 遭制裁议员强硬回应
中国宣布制裁的10名个人和4个实体中包括了5名欧洲议会议员，抨击这几名议员在涉疆问题上恶意传播谎言和虚假信息... "
"
中国外交部长与东南亚外长举行会谈 试图拉拢东盟
",中国国务委员兼外长王毅本周与新加坡、马来西亚、印度尼西亚和菲律宾四国外长分别... ISEAS-Yusof Ishak Institute）2月初公布的一项年度调查显示，如果东南亚国家被迫在美中两国之间选边站队，东盟受访者中有约61.5%的表示会选择美国，有38.5%的受访者称会选择中国... 两国外长将“探讨如何发展韩中双边关系，并就朝鲜半岛、地区和国际问题深入交换意见
"
美澳制定战略计划 共同应对台海事变
",彭博社说，澳大利亚对自己在过去半个世纪中参与了美国遇到的几乎每一次重大的国际冲突而感到自豪... 最近几年，美台关系加深，中国军队在台湾附近区域进行的军事演习越来越多... 美国国家安全委员会亚洲事务协调员坎贝尔上个月对媒体表示，如果中国不停止对澳大利亚的报复，美中关系就不会改善... 我要说，在这个过程中，你们的经济显示出远远超过你们原来可能估计的市场弹性
"
时事大家谈: 北京拉拢伊朗俄罗斯，专制“轴心”能撼动民主联盟？
",大学国际研究与当代语言系主任、国际研究副教授叶耀元表示，新冷战的格局正在形成，其分界线就是美国领导的自由民主国家和中国主导的非民主国家，尤其是新疆的人权问题导致中国与欧盟的关系紧张... 这篇文章指出，目前美中关系最大的危险在于中国过高地估计美国实力下降的程度、并据此采取行动的危险... 这事实上对中国可能会有很大的打击，某种程度就显示在现阶段美国抗中的一个政策... 
"
中西方人权之争烈度空前，美国巨商呼吁为贸易划出防火隔离带
",美国飞机制造商波音公司提醒美国政府，不要把与中国的人权纠纷与两国之间的贸易混在一起... 如果波音公司被拖入这场争斗而失去中国市场，波音将会被它的欧洲对手空客公司超越... 波音公司的紧急呼吁发出在西方民主国家与中国的人权争论... 卡尔霍恩还表示，波音不能参与美中之间的双边纠纷... 西方分析人士称，在美中关系紧张时刻，中方很有可能会把是否给予波音飞机复飞许可作为一张对付美国的牌来打... 
"
更多中国船只在中菲争议岛礁集结 美国表态强调美菲联防
",沙利文和埃斯佩伦一致认为... 菲律宾官员说，至少有4艘中国海军舰艇在中国占领的美济礁（Mischief Reef）附近，有大约45艘中国船只在菲律宾控制的帕加萨岛（Thitu，中国称中业岛）附近... “西菲律宾海国家工作小组”在一份声明中说，菲律宾呼吁中国立即撤走这些悬挂中国国旗的船只，“菲律宾和国际社会都不会接受中国宣称的对几乎整个南中国海拥有的所谓‘无可争辩的主权... 
"
台国安局长：中共明年召开20大 增加台湾国安应处压力
","台湾国家安全局长陈明通在立法院外交及国防委员会报告中指出，明年中共将召开20大，习近平势必将对内展现足以处理主权议题的能力，此举可能增加台湾国安应处的压力... 局长陈明通(美国之音张永泰拍摄)
台湾立法院外交及国防委员会星期四(4月1日)召开一项名为“近期美中台三边关系及周边海域情势发展对台湾国安影响”之会议，并邀请相关官员报告及接受质询... "
"
李柱铭和黎智英等7位香港民主派人士被判组织或参与未经批准集结罪成
",根据《香港政策法》，美国可以同香港保持特殊的关系，但因为其自治受到北京压制，因而不再享有优惠待遇... 艾玮昂在声明中说：“香港政府显然想借由增加《苹果日报》创办人的罪名来击垮新闻自由的象征性人物... 香港过去曾是新闻自由的堡垒，而它在无国界记者组织的世界新闻指数排名中，已经从2020年的第18位滑落到今年的第80名；中国则在180个国家地区中排名第177... 
"
国会两党忧台海成冲突爆点 鲁比奥：中共必须清楚美国打算遵守协防台湾的承诺
",尽管北京重复警告华盛顿“勿触底线”，但这丝毫不减国会跨党派对加强美台关系的一致支持，甚至有议员反呛，“中国无法主宰美国的外交政策”，并呼吁“中国清楚理解，美国打算遵守对台湾的防卫... 朗兹是参议院唯一一位横跨了军事和外交两个国会中与国际政策最为相关的委员会的共和党人... 中国外交部回应说：“‘一个中国’原则是中美关系的政治基础，中方坚决反对任何形式的美台官方往来... 
"
中国加速布局中东 尚难撼动美国同盟
",中国外交部长王毅本周结束对中东六国的访问，创下了中国外长一次访问... 这次访问的时机非常巧妙，发生在中国官员在阿拉斯加会谈与美方发生冲突的几天后，王毅在中东之行前两站访问了美国的传统盟友沙特阿拉伯和土耳其，随后还与伊朗签署了一项全面的投资协议... 王毅所访问的六个国家包括了中东最不稳定的两对竞争关系-沙特和伊朗，阿联酋和土耳其，但中国似乎不打算在这些竞争中积极选边站... 
"
拜登总统公布2万亿美元基建计划 强调与中国竞争
",美国总统拜登周三（3月31日）在宾夕法尼州匹兹堡发表演讲，公布了他总... 该计划还将替换饮用水系统中的所有含铅管道，更新电网，铺设数千英里的输电线路，封堵成千上万的废弃油、气、矿井，保证所有美国人都能拥有高速宽带，建造、保护和改造200多万幢住宅和商业建筑，对公立中小学、社区大学和早期教育设施进行现代化改造，升级退伍军人医院和联邦政府大楼，增加对护理产业的投资... 
"
美大使随帕劳总统访台不寻常 据报美将放宽美台外交接触
","与此同时有报道说，拜登政府准备发布一份指南，放宽美台外交官的接触，其中包含特朗普政府已经做出的一些改变... 新指南放宽美台接触
就在倪约翰访台之际，《金融时报》星期二(3月30日)在一个独家报道中援引一名熟悉内情消息人士的话说，拜登政府预订发布新的指南，放宽对美台外交官接触的限制，新的指南着重于鼓励美国官员与台湾对口官员会面，而不是对这种接触施加限制... "
"
NASA在台湾问题上“伤害了中国人民的朴素感情”？
",美国国家航空航天局（NASA）在发起的一个活动中因把“台湾”列为“国家”之列而成为最新一个北京所说的“伤害了中国人民朴素感情”的外国机构... 希望NASA作为美联邦政府的机构，尊重中国主权和领土完整，恪守一个中国原则和中美三个联合公报规定，尽快改正相关错误... 这篇文章还表示，将台湾视为“国家”，“既违反了国际关系准则，更是挑战了中国的核心利益，伤害了中国人民的朴素感情... 
"
美国贸易代表发布《2021年国家贸易评估报告》肯定美中贸易“第一阶段协议”
",美国贸易代表戴琪(Katherine Tai)今天发布《2021年国家贸易评估报告》，提供了贸易伙伴对美国出口商品和服务、投资以及电子商务构成重大贸易壁垒的详细情况... 报告肯定了上届政府与中国签订的美中贸易“第一阶段协议”，称其“建立了强有力的争端解决系统，可确保迅速有效地实施和执行... 戴琪大使说：“本月初发布的总统的贸易议程，概述了通过促进公平国际贸易体系、促进... 
"
韩国外长即将访问中国 3年多来首次
",韩国外交部在一份声明中称，两国外长将“探讨如何发展韩中双边关系，并就朝鲜半岛、地区和国际问题深入交换意见... 在两岸关系紧张、美国借台湾对华施压的大背景下，选址厦门可释放韩中友好信息，借此牵制美国... 韩联社报道，郑义溶星期三在记者会上表示，美中两国对韩国来说都是非常重要的国家... 中国是韩国的近邻，也是韩国最大的贸易对象国，韩中两国始终保持着战略合作伙伴关系... 
"
奥斯卡提名导演赵婷陷美中角力夹缝
",香港无线电视广播有限公司（TVB）周一决定不转播原定于4月26日举行的美国第93届奥斯卡金像奖颁奖礼之后，围绕华裔导演赵婷的争议再次被媒体提及。赵婷因影片“无依之地”成为美国金球奖大赢家，并获得奥斯卡多项大奖提名。但是。由于她过去发表的一些“辱华”言论被网民挖出，中国当局控制的媒体对她的态度出现了一百八十度转变。有分析认为，在目前美中关系冰封的氛围下，赵婷执导的两部作品很有可能成为牺牲品，而无法进入中国市场。
"
奥斯卡提名导演赵婷陷美中角力夹缝
",香港无线电视广播有限公司(TVB)周一决定不转播原定于4月26日... 漫威’的身段可能会放软，可能会让赵婷想办法做一个道歉或者澄清，让这件事情化解，因为之前美中关系不像现在，而且那么时候对于道歉这些，美国人也不会感到那么反感，但是现在我觉得不太一样了，因为最近的美中关系越来越紧张，所以如果今天‘漫威’为了要让《永恒族》进入大陆市场，然后跑去放低身段道歉，甚至把... 
"
“战狼外交”的效果和走向
",《环球时报》上述的报道标题中所说的阿拉斯加会谈是指在美国阿拉斯加举行的拜登政府上任以来的美中首次高层官员面对面对话；“西方与东方的战斗”之说则显然是呼应中共领袖、中国国家主席习近平先前所说的当今世界大势是“东升西降... 在这种笑谈中，总部设在美国纽约的报道国际事务的网刊《世界政治评论》3月24日发表该刊主编朱达·格伦斯坦的文章，标题是《请再多来些“战狼”外交吧... 
"
拜菅峰会凸显美日同盟重要性 专家：峰会本身即达成目标
",日本首相菅义伟下月将访问华盛顿与美国总统拜登... 日本媒体预测，双方将就亚洲安全、包括台湾稳定的重要性，尖阁列岛适用于美日安保条约，以及朝鲜无核化等议题进行讨论，也会讨论中国侵犯人权问题... 表示，拜菅峰会的议题范围除了包括中国针对台湾和新疆的行动之外，还可能包括香港问题、朝鲜问题，“会谈也会触及如何应对缅甸局势、气候变化、疾病大流行，全球经济，以及可能与韩国的关系... 
"
共和党参议员提案，禁购中国太阳能电池板
",美国参议院的几位共和党议员提出一项议案，要求禁止... 来自佛罗里达州的斯科特参议员在声明中说：“不应把任何纳税人的钱用来扶持中国共产党，该党在习总书记的指示下正在针对维吾尔人犯下种族灭绝行为，并继续威胁我们的盟友台湾并剥夺香港人的基本... 美国人不应参与资助中共暴行，《把中国排除出太阳能法案》将确保我们的联邦资金不会通过购买太阳能电池板而资助中国共产党或其任何相关实体... 
"
美国务院公布最新年度人权报告 明文指出新疆发生种族灭绝
",美国国务院星期二(3月30日)公布了2020年度的《各国人权报告》，详细说明了中国、俄罗斯等近200个国家的人权状况... 这份年度人权报告首次明文指出，在新疆发生了种族灭绝和反人类罪... 在报告的中国部分，美国国务院提到，中国当局让四名报道最初武汉疫情的公民记者失踪... 偏离官方疫情叙事的中国学者遭到了骚扰和言论审查，在某些情况下受到校方和警方的干预... 今年公布的这份报告在描述... 
"
专家: 疫情间涌入中国的热钱将回流美国
",2020年尽管美中关系不断恶化，高盛却成为第一家获得其中国合资企业100％所有权的外资银行... “随着疫苗的推出，经济重新开放，压抑的需求将释放，这些加起来，我们预计美国经济将以过去40年中最快的速度增长... 黄天磊也认为，李稻葵所基于的假设是美国的通货膨胀率和名义利率将上升，结果便是使美国的资产比以往更具吸引力，让一直滞留在诸如中国这样的新兴市场经济体中的资本回流... 
"
美国家安全前领袖呼吁组民主联盟，共同应对中共科技实力
",信函说，“民主科技伙伴议案”建议世界科技领先的民主国家开展新的外交合作，对科技政策、标准和发展进行协调，共同应对中共等专制政权的科技实力和影响力... 信函对这项议案表示支持，因为议案... 军事实力将取决于美国和其他价值观相同的民主国家在新兴和关键科技研发和部署方面的领导能力，”“美国半个多世纪以来一直在科研和转型科技的发展中领先，为美国人民带来了巨大的经济和军事便利... 
"
美国等14国发表联合声明 对世卫新冠病毒溯源报告提出共同关切
",美国和其它13个国家星期二(3月30日)发表声明，对世界卫生组织新公布的有关新冠病毒起源的报告提出了“共同的关切... 在美国国务院以及其它签署国的网站上发表的这项声明说，必须要对有关病毒起源的国际专家研究被严重推迟而且缺乏获取完整和初始数据与样本的准入途径表达关切... 世卫组织星期二早些时候正式公布了这份报告，称报告虽然反映了对现有数据的全面审议，但“我们还没有发现... 
"
日本确认：菅义伟4月9日访美 台海稳定或被列入峰会联合公报
",日本政府官员证实，日本首相菅义... 共同社还说，菅义伟和拜登预计将确认尖阁诸岛（中国称钓鱼岛）属于美日安保条约第5条的适用范围... 尖阁诸岛是东京和北京之间紧张关系的根源... 美日安保条约第五条规定，美国将保卫日本管辖的领土，使之免于遭受外国的武装攻击... 消息人士称，菅义伟和拜登还将谴责朝鲜上星期违反联合国安理会决议试射两枚弹道导弹的行为，并在会后的联合声明中呼吁朝鲜彻底无核化
"
日本印尼举行2+2会议 承诺强化安全合作应对中国威胁
",日本和印度尼西亚两国的外长和防长... 在美中关系日益紧张之际，中国在东中国海和南中国海的领土主张已经成为该地区国家一个优先应对的问题，也引起了日本的重要安全担忧... 会上，印尼国防部长苏比延托 (Prabowo Subianto)在谈到转移协定时表示：“我认为这(在日本和印尼的双边关系中)还属首次... 缅甸军方在2月1日的一次政变中夺取了政权，拘押了昂山素季等民选文职官员... 
"
律师称孟晚舟案与美无关，检察官：美国有司法管辖权
",华为公司首席财务官孟晚舟的律师星期一（3月29日）辩称，美国对她的欺诈指控发生在中国领土，与美国无关... 律师还表示，将孟晚舟从加拿大引渡至美国将违反国际法... 孟晚舟于2018年12月被加拿大警方应美国要求拘捕... 美国指控华为利用一家名为星... 他还说：“一名中国人与一家英中银行在香港一家餐厅发生的事情，根据国际法，与美国无关... 但中国坚称，拘押这两位加拿大公民与孟晚舟案没有关系
"
时事大家谈: 新疆议题引发中欧对撞，北京亲欧策略恐破局？
",独立学者吴祚来表示，中国外交官此次在新疆人权问题上四面出击，甚至共青团发起对来自瑞典的国际服装品牌H&M进行抵制，与中共总书记习近平提出的要“敢于斗争”、“善于斗争”的思维不无关系... 现在第一步是中美之间要划分太平洋，我的势力范围你不要染指，我要控制我的势力范围... 所以现在中共也是在灭火，西方这些名牌企业也在应对，打三折让大家去抢购，一下子就化解了小粉红的爱国热情... 
"
美中关系紧张 在华美国企业处境艰难
",美中政治关系紧张，让在华的美国企业的日子也不好过。特斯拉创始人马斯克日前不仅公开极力澄清其电动车不会从事间谍活动，还对中国当局减少碳排放量政策大加赞赏。不过，观察人士指出，马斯克对中国示好，并不一定能换来中国当局对其“网开一面”。
"
在华美企处境艰难，马斯克发动魅力攻势能否奏效？
","美中关系紧张 在华美国企业处境艰难
马斯克：特斯拉不当间谍
中国最大的美国独资汽车制造厂商特斯拉首席执行官马斯克日前在接受中央电视台采访时表示，中国十四五规划中设定的碳排放目标给他留下了深刻印象，他对中国未来会很美好和非常繁荣，很有信心... 观察人士称，鉴于拜登政府上任后第一次美中高官会谈的不欢而散，未来美中关系改善的前景不容乐观... "
"
美驻帕劳大使访台湾 强调三方关系只会更密切
",他说：“‘一个中国’原则是中美关系的政治基础，中方坚决反对任何形式的美台官方往来... 台湾国际法学会副秘书长林廷辉对台湾中央社说，美国驻帕劳大使是特命全权大使，能代表美国和美国总统，访问台湾体现美方不再固守《台湾关系法》的框架，不忌讳通过大使的官方正式关系与台湾接触... 美国时任总统特朗普2020年3月26日签署了旨在强化台湾与印太区域伙伴外交关系的《台北法... 
"
百度在港二次上市 “AI第一股”前景看俏？
",中国搜寻引擎龙头百度(Baidu)上周二... 美股此一最新规定加大了多数受中国共产党控制、或董事会成员有共产党身份之中概股被摘牌的压力，也似乎连带拖累了百度上周在美股连两日的股价表现，直到美国时间周五午后才小幅回盘，但本周一(3月29日)又回跌... 但他说，美中科技脱钩的趋势和美中两国未来在科技上的竞逐，并未随着新总统拜登(Joe Biden)上台后而有所减缓... 
"
美国国际宗教自由委员会谴责中国报复性制裁它的两名官员
",中国随后对这些国家的一些... 由美国国会设立负责跟踪、分析并报告全球宗教自由的美国国际宗教自由委员会星期一在一份声明中强烈谴责中国政府对该机构的主席曼钦和副主席伯金斯进行“报复性的制裁... 人权和宗教自由的美国和外国政府官员进行毫无根据的制裁，是企图压制国际社会对其针对新疆维吾尔人和其他突厥穆斯林的种族灭绝政策日益增长的批评和审视，” 该机构的主席曼钦在一份声明中说... 
"
美英携手抗衡中国，建全球新联盟
",新疆人权问题升温，欧中关系陷入1989年天安门事件以来最低谷；英美两国研议联手创建新全球联盟，抗衡中国。我们连线了美国之音驻伦敦特约记者江静玲了解有关情况。
"
日本政界人士呼吁首相菅义伟加入西方国家制裁中国侵犯人权行为
",星期一（3月29日）报道，日本长期以来一直不愿意对其最大贸易伙伴实施经济处罚，但菅义伟所在执政党中的一些人呼吁他采取更加强硬的路线，特别是7国集团(G7)峰会6月即将在英国召开的... 菅义伟将成为首位在白宫拜访拜登总统的外国领导人，媒体报道称，美日峰会最快可能在4月9日举行... 日本官员稍早明确表示，菅义伟希望尽快与拜登面对面会晤，以加强美日两国重要的同盟关系... 
"
时事大家谈: 中国同时与欧美交恶，习近平拉开中西对抗的铁幕？
",中共官员、官媒和亲中媒体把美中和中西对抗说成是西方国家见不得中国崛起，不适应“东升西降”，激起国内一片激昂的民族情绪... 新疆棉花到底是贸易问题还是人权问题... 一国两制在香港的终结仅仅... 他说：“真正的根本性扭转在习近平，所以习近平应该说是中美交恶的根源... 这样导致了整个中美关系和中国和西方关系的交恶... 因为正是习近平加速了中国战略方向的 激进 改变，加速了中美之间的冲突和对抗... 
"
布林肯质疑中国插手世卫新冠起源报告 强调以改革防止疫情重演
",世界卫生组织有关新冠病毒起源的报告公布一再推迟，美国国务卿安东尼·布林肯星期日说，对中国参与这份报告的撰写表示担忧... 正在比利时布鲁塞尔访问的布林肯在接受美国有线电视新闻网（CNN）采访时说：“世卫组织不久将发表一份报告... 我们对这份报告的方法和... 布林肯在采访中没有正面回答是否会继续“惩罚中国”的问题... 美国前总统特朗普曾威胁说，因为中国在疫情中的做法要让中国“付出代价... 
"
华尔街日报专访戴琪：美国目前还没准备好取消对中国的进口关税
",美国贸易代表戴琪表示，美国还没有准备好在不久的将来取消对中国进口... 但是，戴琪同时警告说，“取消关税”可能会损害经济，除非“以某种方式传达这种变化，以便经济中的参与者能够做出调整... 国会对她的提名确认获得了惊人的两党支持，包括参议院以98票对0票通过的确认投票结果，是拜登总统所有内阁提名人中表现最好的... 观察人士指出，戴琪面临着来自急于解决美中贸易冲突的美国企业的压力... 
"
不理国际谴责 普京为何力挺缅甸独裁军头？
",政治学者皮昂特科... 古谢夫还是莫斯科记者协会主席，是俄罗斯知名社会活动人士，显示俄罗想与缅甸密切关系不想仅局限在军事和军火交易领域... 另一方面，缅甸既是东盟成员，也是中国邻国，俄罗斯正加紧同中国周边国家和其他亚洲国家发展关系，以此来平衡俄中关系，缅甸因此成为俄罗斯这一战略中的重要一环... 此外，俄罗斯想作为另一股独立力量，试图为东南亚国家提供美中两大力量之外的第三种选择... 
"
美加谴责中国因侵犯维吾尔人权问题对美加实体和个人实施报复性制裁
",美国国务卿安东尼·布林肯在一份声明中表示，中国恐吓和压制那些为人权和基本自由而大声疾呼的人，“只会加剧国际上对新疆正在进行的种族灭绝和危害人类罪的审视... 加拿大总理特鲁多周六在其推文中对北京针对加拿大议员的制裁做出回应... 外交部发言人新闻稿还说，“此前中方对美方在涉疆问题上严重损害中方主权和利益人员的制裁仍然有效... 
"
中国AI实力加速 美国科技优势遇上最危险的时刻？
",中国在人工智能（AI）发展的多项指标上直逼... 微软公司总裁布拉德·史密斯（Brad Smith）在2月份的参议院听证会上提到，美国在与中国的竞争中面临的最大竞争挑战不是技术研发，而是中国在人工智能等新技术方面实际部署和运用的... 报告说，美国国防部必须采取行动，将人工智能全面整合到关键功能、现有系统、演习和作战演练中，以便在2025年成为一支具备人工智能能力的部队... 
"
拜登邀请普京习近平参加气候峰会，美中峰会有没有可能？
",拜登这样做是希望... 美国与俄罗斯和中国目前关系非常紧张，拜登是否能够利用这次峰会与普京和习近平举行峰会格外引人注目... 中国官员杨洁篪在会上表现出的被媒体所说的情绪宣泄，让人们对美中关系未来走向感到忧虑... 美中首脑能否尽快实现峰会被认为是双边关系能否尽快稳定下来的一个重要标志... 这一轮负面互动激起欧洲议会议员的愤怒，调查显示，反对欧中双边投资协议的欧洲议会议员超过了70%... 
"
俄知名媒体人称中国是主要威胁 呼吁同美国结盟
","一名非常有影响的俄罗斯知名媒体人认为，中国才是俄罗斯最主要威胁... 一些批评普京的人士说，波兹涅尔虽把自己包装成为亲西方自由派人士，但他与官方高层关系密切，他更擅长用西方能接受的方式和语言解释介绍今天普京统治下的俄罗斯，以及克里姆林宫的一些行动... 三分之一多支持联美抗中
在对美关系上，这份民调说，有37%的人认为，俄罗斯应该与美国共同联手对抗中国... "
"
美国国会议员提出议案，建议提高美国驻台代表级别
",美国国会山在周五发生了三件重要的事情，有两件涉及美台关系，另一件涉及美中贸易... 这个议案是第二次提出，其目的是使美国的对台政策更好的... 这个由两党议员共同提出的议案希望通过以下措施加强美台关系：设立跨部委的台湾政策工作组，把美国驻台代表的级别提升至需要参议院认可的级别，建立美台文化交流基金会，推动台湾加入国际组织，制定保护美国企业和非政府组织免受中国政府胁迫的办法... 
"
习近平核心下 李克强为什么还与习不同调？
","独立时评人唐靖远对美国之音说：“还有我观察到一个最突出的，可以说达到（不同调）最高峰，就是中美爆发贸易战的时候，按说这么重大的经济事件、经济决策，李克强作为经济总理，这方面他应该是第一... 中研院政治所研究员蔡文轩（美国之音陈筠拍摄）
蔡文轩表示：“但这种不一样不会引起李克强跟习近平之间的冲突，因为李克强的权力比习近平小很多... "
"
商务部长雷蒙多：美国正在为反击中国制定战略
",新任美国商务部长吉娜·雷蒙多（Gina Raimondo）在近期的一次采访中说，拜登政府的起始标志着美国与北京关系的新篇章... 她说，本届政府的要务是制定整体战略，保护美国工人... 白宫表示，尽管美国和俄罗斯及中国在一些方面紧张局势升高，但希望与俄中能够在气候变化方面合作... 雷蒙多在近日接受美国全国公共广播电台（NPR）采访时说，拜登政府的起始标志着美国与北京关系的新篇章... 
"
当美国联手盟友共同制中时，中国也在寻找伙伴“抱团取暖”
",拜登政府上任以来虽已表达了调整对伊朗的政策、重回伊朗核协议的意愿，但美伊两国关系到目前为止仍没有任何改善的迹象... 华盛顿研究所的波洛克说，虽然中国在大力提升与中东国家的关系，中东国家也希望发展与中国的关系，这并不意味着他们要在美、中之间选边站... 波洛克说，美国在中东的战略确实呈收缩态势，但是，这并不意味着美国就要退出中东，因为中东也是美中大国较量的区域之一
"
为摆脱美国制裁 中俄急与美元脱钩
",俄罗斯外长拉夫罗夫本周访华前呼吁中俄降低对美元和西方控制的国际支付系统的依赖，以降低被西方制裁的风险... 波佩斯库说，中俄两国发现拜登政府上台后，在美中、美俄对抗问题上的态度并未缓和... 因此，中美在阿拉斯加会晤之后，中国和俄罗斯举行这次会议，决定加快与美元脱钩的步伐... 俄罗斯2014年吞并克里米亚以及乌克兰危机使俄罗斯与西方关系不断恶化... 
"
从阿拉斯加到新疆 专家：中国的战狼外交其实是骑虎难下
",上周在阿拉斯加举行的美中高层对话中，中方代表杨洁篪对美国国务卿布林肯就新疆、西藏和香港问题的批评，在媒体面前抛出一句句的尖锐言辞，如“中国人不吃这一套”、“美国没有资格居高临下同... “我想战狼外交将成为一个主流的外交形式，” 美国巴克内尔大学（Bucknell University）政治学与国际关系教授朱志群对美国之音说，“因为最高领导说了，我们可以平视对手... 
"
拜登与英相通话 建议民主国家发起基础设施项目 抗衡中国“一带一路”
",美国总统拜登星期五(3月26日)说，他当天与英国首相约翰逊通话时建议民主国家也应当推出一项可以与中国“一带一路”倡议竞争的基础设施方案... 拜登对记者们说：“我建议我们实际上应当有一个类似的倡议，由民主国家出力，帮助世界各地那些事实上有需要的社区... 拜登总统一天前在他上任的 首场正式记者会 上谈到美国与中国的关系时说，这是民主与专制的历史较量... 他还说，在他的任内，他... 
"
美国谴责中国因新疆棉花针对国际公司展开“国家主导”的社交媒体运动
",美国星期五(3月26日)谴责华盛顿所说的中国由“国家主导”的打击美国和其它国际公司的社交媒体运动，这些公司因为强迫劳动问题而决定不使用新疆地区的棉花... 美国国务院发言人波特说，社交媒体运动和消费者抵制行动的打击目标是美国、欧洲和日本公司... 她在例行记者会上说：“我们赞赏并支持遵守美国法律并确保我们的消费产品不是通过强迫劳动来制造的公司... 她还说：“我们支持并鼓励公司... 
"
北京掀起抵制西方公司风潮 白宫表示密切关注中国强迫劳动问题
",白宫周五（3月26日）批评中国从侵犯人权中获利，并表示将密切关注强迫劳动问题... 此前，美国和一些跨国公司承诺不使用中国新疆地区的棉花，在中国官媒鼓励下，中国消费者对这些公司展开了抨击和抵制... 白宫发言人莎琪星期五在新闻发布会上批评中国把外国公司对其市场的依赖当作武器来使用... “在我们看来，国际社会应反对中国将私营企业对其市场的依赖武器化，来扼杀言论自由并抑制合乎道德的... 
"
前美疾控中心主任认为新冠病毒源自武汉实验室 弗契医生称这不代表多数美卫生专家意见
",前美国疾病预防与控制中心(CDC)主任罗伯特·雷德菲尔德(Robert Redfield)医生说，他相信新冠病毒是从武汉一家实验室逃逸出来的，但是美国首席传染病专家安东尼·弗契(Anthony Fauci)医生星期五... 在美国有线电视新闻网(CNN)的纪录片中，雷德菲尔德在接受采访时说，他相信病毒是在一家实验室制造的，然后逃逸了出来，但这并不一定是有意为之... 
"
中国报复尚未结束，澳大利亚葡萄酒再遭重罚
",但是，最近一个时期，美中对抗加剧，中国的官媒和官方的学者对此都不再隐讳，他们公开承认，对澳大利亚采取的种种制裁，就是为了“杀一儆百”，让跟随美国与中国对抗的国家付出代价... 拜登政府上台以来已经多次告诉中方，停止对澳大利亚的报复是美中关系改善的前提... 坎贝尔说：“我们已经清楚表示，在一位紧密盟友受到某种形式经济胁迫的同时，美国并不准备改善双边关系，也不打算单独处理
"
“美中关系回不去了!” 美议员: 阿拉斯加只是漫长艰辛交涉的开端
",也有议员预测，这场会谈标示着两国未来“漫长且艰辛的... 早在会谈登场前多家媒体报道猜测，即使美中官员面对面坐下来也不会对两国外交关系取得突破进展，然而最终结果，双方展现出来的针锋相对的程度却出乎众人意料... 拜登表示，他在上任后与中国领导人习近平长达两个小时的通话中向对方表明，美国并不寻求“对峙”，但美中之间存在“激烈的竞争”，美国将坚持要求中国按照国际规则“公平竞争... 
"
收取5G专利费： 华为能否走出困境？
","过去两年，中国电信设备巨头华为遭美国强力封杀，与美国企业的业务往来被迫暂停... 最近传出，拜登政府计划进一步限制企业向华为供应5G相关产品... 面对严峻挑战的华为最近公布，向苹果和三星等手机品牌收取专利费用... 在数字上，华为拥有的专利数目全球首屈一指，计划... 专家：有专利并非等于有市场
台湾南台科技大学学者罗承宗表示，近年华为积极提交专利申请与中国的体制有直接关系... "
"
美军成立太平洋特种作战司令部应对中国信息行动
",美军特种作战司令部司令周四（3月25日... 网络司令部负责人保罗·中曾根（Paul Nakasone）将军对参议员们说，他们在2020年大选前进行了十多次行动，阻止了外国势力的威胁... 中曾根将军说，同财政部、联调局、司法部和国土安全部等部门共同努力，才是力量所在... 不过，中曾根说，虽然必须对信息或影响力行动做出回应，但回应的方式可能是外交或财政手段，而不仅仅是军事行动
"
美众院外委会通过帮助台湾恢复世卫观察员地位的法案
",金映玉众议员星期四在一项声明中说：“台湾是美国的牢固盟友和世界全球卫生与安全的伙伴，就在最近对新冠病毒疾病做出了迅速的响应... 舍曼众议员在声明中说：“中国继续把台湾排斥在世卫组织之外是不可接受的... 我将继续与我的同事和拜登行政当局共事，加强美-台关系... 2016年，在民进党人蔡英文当选总统后，北京与台北政治关系恶化，台湾此后未能再以观察员身份参加世卫大会
"
美台签署“设立海警工作组”备忘录
",“美国支持台湾在全球关注的议题上做出有意义的参与... 台湾驻美代表处也在一个声明中指出，萧美琴在致词时提到台湾总统蔡英文说，“海洋就写在台湾人的DNA里”，作为印太地区负责任的利害关系人，台湾随时愿意在海洋相关议题做出贡献，台美海巡部门多年来在搜救及渔业执法等议题密切交流，她期待双方成立“海警工作组”后能缔造更强韧的伙伴关系，为维护自由开放的印度太平洋做出贡多贡献... 
"
白宫要义: 拜登: 习近平骨子没有一丁点民主，美国持续关注台湾、新疆、香港
",拜登总统说，他很了解习近平，习近平骨子里没有一丁点民主。他并且直接了当地告诉习近平，民主跟自由是美国的价值观，美国将持续关注台湾、南中国海、新疆、香港等议题，并且他正在重建全球民主联盟，并将在美国召开民主峰会，共同要求中国为其做的事情负责。拜登说这是“21世纪民主政体与专制政体之间的战争”。
"
VOA连线(李逸华): 美中会谈“唇枪舌剑” 美议员：这只是漫长艰辛交涉的开端
",拜登政府上台后的首次美中会谈在针锋相对中落下帷幕。后续的影响和分析，仍持续发酵，两党议员认为会谈可能预示了美中紧张关系短期内难以缓和。
