时间,标题,内容,记者
2021年1月7日,"
社区团购碰“九不得”管制红线，中共被指步入“精致极权”
","社区团购的兴起
上海复旦大学国际关系与公共事务学院教授陈云 （陈云提供）
至于社区团购的缘起，复旦大学国际关系与公共事务学院教授陈云对美国之音说，社区团购诞生在2017年的长沙，创始企业叫做... 2020年的中国各大城市，因为疫情关系，产生了很特殊的市场环境，网购成为减少病毒传播的有效方法... ", 陈筠
2021年1月7日,"
《台湾关系法》主要推手吁美国与台湾展开“乒乓外交”
",他说，《台湾关系法》制定时在国会为台湾发声的都是自由派，而一些共和党的保守派却没有投下赞成票... 对此，沃尔夫表示，《台湾关系法》立法当时特意在许多条文上保持文字的模糊，是为了能得到两党更多人的支持，让行政当局能够接受、总统愿意签字，同时也让美国政府能在与中国发展关系时不至于引起太多波折，不过由于最近中国对台湾的强硬作为，他认为美国的确应该对那些模糊之处... , 锺辰芳
2021年1月6日,"
美学者吁建立“危险区”近程策略防范北京对台动武
",新一年才开始不到一星期，除了元旦当天外，台湾国防部数据显示，中国解放军对台湾西南部空域的侵扰没有停止过，关注台海情势的美国学者专家对此现象也越来越为担忧... 一个新发布的报告说，未来5到... 这份名为“进入危险区：美中关系即将到来的危机”的报告指出，美中之间的大国竞争或许并非一场百年马拉松，而是一个为期十年的“冲刺”(sprint)，未来10年中国可能在其实力达到巅峰... , 锺辰芳
2021年1月5日,"
中共军机新年扰台频率不减 去年侵扰台西南空域创纪录达380架次
",台湾国防部智库国防研究院在年底发布的年终报告《2020中共年报》中指出，受美中关系的持续恶化，台美关系升温等因素影响，中共大幅度增加了在台海区域的军事活动，特别是中国军机对台湾西南空域的... 台湾国防部发言人史顺文说，中共从未放弃武力犯台，军事的一些威胁行动持续进行，包括派遣机舰侵扰台湾西南海空域，运用灰色地带手段，进行施压、挑衅，严重冲击区域情势与两岸和平... , 美国之音
2021年1月3日,"
台国防部智库：2020年中共军机侵扰台湾力度加大恐事与愿违
",报告指出，2020年美中台关系变化是造成中共对台政策变化的主要原因，尤其是下半年台美关系升温，如美国卫生部长、国务次卿访台及对台军售等，使得中共加强军事威吓力度来遏止其所谓的“台独... 报告认为，中共对台湾的强硬作为不仅无助于争取台湾民心，也是让两岸越走越远的始作俑者... , 美国之音
2021年1月2日,"
北京称蔡英文新年讲话意在谋“独”
",朱凤莲说：“造成当前台海两岸关系紧张动荡的根源，是民进党当局拒不承认体现一个中国原则的‘九二共识... 她说，两岸关系的稳定，“已经不只是台海两岸关注的议题，更是攸关印太区域稳定的议题，而且已经是全球焦点... 蔡英文说，北京在台海频繁活动被视为对美台进一步强化关系的回应... 中国国台办发言人朱凤莲则指责台湾民进党破坏两岸关系，不断谋“独”挑衅，制造两岸对立... , 美国之音
2021年1月2日,"
中国军机新年伊始扰台 台空军广播予以驱离
",台湾总统蔡英文1月1日发表新年讲话，向中国大陆释出和解善意... 蔡英文说，只要北京有意愿改善两岸关系，台湾愿意在对等原则下进行有意义的对话... 蔡英文在新年讲话中有关两岸关系的表述被认为是再度向北京当局抛出橄榄枝... 不过，中国当局并没有表现出停止派遣战机进入台湾防空识别区的迹象... 蔡英文说，北京当局此举“不仅冲击两岸关系，更是对印太地区和平稳定的现状，造成威胁... , 美国之音
2021年1月2日,"
中国新年伊始再提“统一台湾” 台陆委会：拒绝中共“一国两制”
",2021新年伊始，台湾和中国大陆有关部门针对两岸关系分别表态... 而刚刚上任不到不到一个月的中国全国台湾研究会会长汪毅夫12月29日在两岸关系研讨会上表示，中国大陆对台湾的大政方针中有几项坚决不能动摇，包括坚持“一个中国”原则、坚持“九二共识... 台湾陆委会表示，北京当局近日一再宣传单方面期待的对台政治主张，同时不断以军事外交威吓打压及社会渗透分化，刻意制造两岸对立... , 美国之音
2021年1月1日,"
蔡英文：愿意与北京当局促成有意义的对话
",“两岸关系的稳定现在已经不只是台海两岸关注的议题，更是攸关印太区域稳定的议题而且已经是全球焦点“，台湾总统蔡英文在新年谈话中表示只要北京有意愿改善两岸关系，台湾愿意在对等原则下进行有意义的对话。过去一年里，中国军机和军舰在台湾附近频繁活动，加大了对台湾施压。蔡英文说，北京当局此举“不仅冲击两岸关系，更是对印太地区和平稳定的现状，造成威胁。”,
2021年1月1日,"
蔡英文：愿意与北京当局促成有意义的对话
",台湾总统在新年谈话中再度向北京当局抛出橄榄枝... 蔡英文在新年谈话中说... 她说，两岸关系的稳定，“已经不只是台海两岸关注的议题，更是攸关印太区域稳定的议题，而且已经是全球焦点... 蔡英文说，北京当局此举“不仅冲击两岸关系，更是对印太地区和平稳定的现状，造成威胁... 台湾总统在新年谈话中说：“只要北京当局有心化解对立，改善两岸关系，在符合对等尊严的原则下，我们愿意促成有意义的对话... , 美国之音
2021年1月1日,"
对中共绥靖？华盛顿痛批欧盟与中国达成投资协定
","在拜登政府上任前夕，欧盟不顾美国的反对以及对中国人权问题的担忧，与北京达成... 外委会主席：中欧协议不能成为美欧在中国问题上进行合作的障碍
美国参议院外交关系委员会的主席、来自爱达荷州的共和党参议员里施（Jim Risch)星期四针对中欧签署投资... “大西洋两岸在这些问题上必须维持共同的势头，而且中欧协议绝不能成为这种合作的障碍，”里施参议员在声明中说... ", 莉雅
2020年12月31日,"
29名台湾人在北京被判刑 台湾陆委会：应保障被告的各项司法权益
",被控电信诈骗罪的29名台湾人星期四... 同时，通过两岸治安机关合作，溯源追查，才能将幕后主嫌绳之以法，从源头彻底瓦解犯罪集团，以保障两岸人民权益与福祉... 而大多数国家承认“一个中国”的政策，因此，他们只跟中国大陆保持各种关系，包括司法引渡遣返等... 台湾和中国大陆2009年4月签署了共同打击犯罪及司法互助协议，这是1949年台湾、大陆分治以来两岸首次签署这样的司法协议... , 美国之音
2020年12月31日,"
美军舰本月再度航经台湾海峡
",美国两艘军舰星期四（12月31日）航行经过台湾海峡后，北京表示抗议... 这是美军舰本月第二次航经这条敏感的海上通道... 大约两周前，一个中国航母舰群也行经这条航道... 美国表示加大对台湾的支持，包括扩大对台军售及美军舰船航经台湾海峡，这进一步激化了美中间已经紧张的关系... 美国海军表示，约翰·麦凯恩号和柯蒂斯·威尔伯号导弹驱逐舰“依照国际法，于12月31日例行航经台湾海峡... , 美国之音
2020年12月31日,"
制衡中国打“台湾牌”？亚太国家对拜登的期望
",米什拉说，过去几个月来对台湾的正面友好气氛也越来越强烈，许多人呼吁印度在与中国的紧张关系中应该打“台湾牌”，而印度与中国的边境冲突，是驱动新德里重新考量对台政策的主要因素，因为印度认为，它对与中国的关系保持... 中国国台办发言人朱凤莲星期三(12月30日)在年终记者会上表示，今年台海情势严峻复杂，两岸关系也面临严峻挑战，但党中央在对台工作上仍然取得积极成效... , 锺辰芳
2020年12月29日,"
美中台二轨对话盼两岸僵局中建立有效发信号机制
",在第二次会议中，虽然与会者依然认为两岸关系将持续严峻，而且美中之间的摩擦也将持续升高，不过对话也转向如何寻找一个相互保证及务实措施以便能让两岸关系稳定下来的机制，尽管这会是一个非常困难的工作... 这个交流将可作为稳定台海安全环境的信心建立机制，将两岸关系从军事及政治行动转回到对话与交流，同时也可以发出信号说，没有一方想要在此时急于解决两岸议题... , 锺辰芳
2020年12月26日,"
日防卫高官称台湾为“红线”吁拜登强硬挺台
",日本防卫副大臣中山泰秀星期五（12月25日）敦促美国总统当选人拜登，面对好斗的... 这位官员说，拜登“就任后，将继续支持和平解决海峡两岸问题，体现台湾人民的愿望和最大利益... 美国加强对台湾的支持激怒了北京当局，这些支持包括扩大对台军售，以及派高层官员访问台湾，同时也令美中关系更趋恶化... 她说，台湾期待与拜登团队紧密合作，在业已牢固的友好关系基础上，持续稳步改善台美关系... , 美国之音
2020年12月25日,"
中国审查延烧海外，台湾游戏《还愿》遭下架
",上周，台湾的游戏业者赤烛（Red Candle Games）旗下恐怖游戏《还愿》（Devotion）因受到许多中国网友投诉，遭国际游戏平台GOG.com取消上架... 这不是赤烛团队第一次受到如此遭遇... “世界的市场不是只有中国，这几年反制中国霸权的多边夥伴关系，在区域网路、商业、军事、医疗等方面都已经逐渐形成，我认为数位、娱乐产业未来也可以朝这个方向去走... , 李玟仪
2020年12月25日,"
多年艰苦谈判之后 英国与欧盟达成贸易协议
",当英国人2016年投票脱离加入了47年的欧洲联盟时，支持英国脱欧的人士说，与欧盟达成自由贸易协议轻而易举... 虽然英吉利海峡两岸的政界人士全都大松了一口气，但是，英-美跨国职业咨询公司安永(Ernst & Young)的贸易专家萨莉·琼斯(Sally Jones)认为，协议离双方在2016年英国脱欧公投后不久所宣布要争取建立的那种“深层和雄心勃勃的关系相差甚远... , 德特默
2020年12月22日,"
美中“一中政策”拉锯，拜登将面临北京压力？
","在美国国务卿蓬佩奥... 北京要一中政策保证
美国乔治华盛顿大学国际事务实践教授沙特2019年10月29日参加台海两岸关系座谈会（美国之音锺辰芳拍摄）
乔治华盛顿大学外交实践教授萨特(Robert Sutter)说，北京将会在拜登上台后，要求新总统再次确认美国的一中政策没有改变，只要拜登想要将已经跌至谷底的美中关系稳定下来，他就可能别无选择... ", 锺辰芳
2020年12月21日,"
中国航母山东舰航经台海 台湾军方全程监控
",台湾国防部星期日(12月20日)表示，中共航母“山东舰”(CV-17)及所属护卫兵力4艘，本月17日自辽宁大连港起航南驶，20日航经台湾海峡之后，继续向南航行... 台湾国防部指出，“山东舰”航母航经台海期间，台湾军方除了运用联合情监侦系统全程掌握，并派遣海军各型船舰6艘、空军各型机8架次，担任警戒、监控任务，依规定适切应处... 这是“山东舰”航母去年12月26日之后... , 美国之音
2020年12月19日,"
美国海军战舰今年第12次航行经过台湾海峡
",台湾自蔡英文2016年担任总统后始终不承认九二共识，两岸官方交往几乎完全停止，大陆对台湾使出禁止陆客来台旅游等惩罚性举措，两岸关系不断恶化... 与此同时，美台关系升温也使得北京感到十分恼怒，尤其这两年来美国通过多项友台法案，数次对台军售，以及今年派遣多位高阶官员访台... , 赵婉成
2020年12月19日,"
台湾旅客的核酸检测报告若有“武汉肺炎”字样将被禁入境中国
",三家中国航空公司宣布，来自台湾的旅客提出的新冠病毒核酸检验报告中如有“武汉肺炎”字样，而不是世卫组织定名的2019新型冠状病毒病（COVID-19)，该检测报告将被视为无效... 旅客因此会被拒绝入境... 中国的国际航空、深圳航空以及南方航空... 这三家航空公司都有两岸往返航班... 在澳大利亚提出对新冠病毒进行独立调查后，澳中关系急剧恶化，中国向澳大利亚实施多项报复性的贸易惩罚举措... , 赵婉成
2020年12月18日,"
拜登外交顾问：美国与台交往因“亲台湾”而非“反中国”
",关于两岸关系，坎贝尔说，美国必须对台海和平对话持开放和鼓励的态度，过去中国总是鼓励美国与朝鲜接触，并称如此符合美国的战略利益，还说，这么做“你会有什么损失... 对于拜登上任初期应该在台海两岸关系发出何种信号的问题，葛来仪建议从三方面着手：第一是发表公开声明，重申台海和平稳定是美国利益所在；第二是采取政策行动，包括先恢复与台湾的“贸易投资... , 锺辰芳
2020年12月11日,"
国会两党议员挺台 共和党人呼吁西方民主为台湾发声
",本届美国国会进入尾声之际，众议院针对美台关系前景召开听证会，两党议员强调深化与台湾的关系将持续是未来新国会的方向。, 李逸华
2020年12月11日,"
路透：中国试图以“灰色地带”冲突制服台湾
",路透社星期四（12月10日）在一篇特别报道中提到，中国在香港消除了对其统治的普遍挑战几个月后，正在转向下一个目标：台湾... 中国人民解放军发起了一场“灰色地带”战术（gray-zone warfare），其目的是让台湾筋疲力尽，进而制服台湾... 前任以及现任的台湾和美国军方高级官员说... 在两岸政治紧张局势达到顶峰时，中国还会派出更多飞机，其中包括一些最强大的战斗机和轰炸机... , 美国之音
2020年12月11日,"
美国如何挺台抗中？议员与专家为拜登建言
","多位美国国会议员及... 委员会主席阿米·贝拉(Ami Bera, D-CA)说：“当我们想到台湾、中华人民共和国和美国之间的关系时，我们不能忽视与台湾最紧密相关的关系是和中华人民共和国的关系，我们的政策和美国长期的政策是，要以台湾人民的意志和平解决台湾和中华人民共和国之间的争端... 尽管如此，中国最近所采取的军事行动并没有加强两岸关系，同时积极破坏了全球对中国的舆论... ", 锺辰芳
2020年12月9日,"
拜登顾问：美国必须思考是否为台湾而战
",太平洋的良性力量对美国的经济未来及全球安全一样重要，如果美国不能遵守1979年的《台湾关系法》，在台湾遭到攻击时伸出援手，那将削弱所有美国的安全同盟，“没有任何一个美国总统能够忽视... 他认为，拜登如果能扩大美国与台湾的伙伴关系，将有助于缓解地区对中国的担忧，并展现他的政府对于与日本、澳大利亚、菲律宾与韩国等盟友合作的兴趣，他也建议拜登应该持续对台军售，并着重于... , 锺辰芳
2020年12月8日,"
台湾感谢美国军售，蔡英文：台湾每天都面临着中国军事威胁
",在特朗普政府宣布新的对台军售决定的第二天，台湾总统蔡英文指出，台湾每天都面临着来自中国“威权势力”的军事威胁... 蔡英文总统周二（12月8日）在台北举行的“台美日三边印太安全对话” 会议上发表讲话... 她说，台湾面临着地区性... 蔡英文说，台湾保持与新旧伙伴和朋友之间的合作与同盟关系，尤其是美国、日本和捷克共和国... 台湾和美国将继续巩固双边安全合作关系，维护台湾海峡的和平与稳定... , 木风
2020年12月7日,"
台湾前总统马英九促请美国前官员帮助两岸恢复对话
",2015年马英九与中国领导人习近平在新加坡举行了举世瞩目的“马习会”，那是自1949年以来两岸领导人的首次会面，两人在会谈中重申“九二共识”是两岸关系重要的政治基础... 近期因美国通过多项友台政策、对台军售，以及多次派遣美国政府高官访问台湾等举措一再激怒北京，解放军以军机不断频繁扰台飞行，以及举行针对台湾的实弹军演来示警美国和台湾，两岸关系空前紧张... , 赵婉成
2020年12月5日,"
蔡英文表示继续携手美国捍卫民主自由
",台湾总统蔡英文表示，将与美国继续携手，坚定捍卫世界民主自由，深化两国经贸伙伴关系... 党派参议员，以及160多位众议员支持美台谈判签署双边贸易协定，称“此协定除将进一步深化两国紧密的经贸伙伴关系，值此台湾面对对岸从不间断的威胁之际，此协定也会更加强化美国对台湾的支持... 在谈到两岸关系时，蔡英文表示：“永远不会停止寻求和平稳定的两岸关系，也不会对台湾的安全有任何的妥协... , 美国之音
2020年12月3日,"
亲共学者吹捧专制体制抗疫优势 被痛斥为“低级红”
",亲共的“旅美社会学家”、“武统学者”李毅日前在对比中美应对新冠病毒疫情的成效时，为了炫耀专制体制的抗疫优势，笑称中国疫情“死了4千人等于一个没死... 此番言论一出便在网民中激起强烈反弹... 分析人士说，李毅对中共政权的吹捧实则“低级红”，只会招致人们对专制的... 荣剑表示，近年国内像李毅这样的极左人物大行其道，跟整个社会大环境有关系，即极端的爱国主义、民族主义情绪的舆论导向... , 海彦
2020年12月3日,"
年终报道: 对台政策是否“特规拜随”？美中交往范式转变或为特朗普重要政治遗产
","随着2020年步入尾声，美国当选总统拜... 对拜登的建言
在拜登政府就任前，关注美台关系的政学界人士也纷纷提出建言，全球台湾研究中心最近在一期《全球台湾简报》中，就由该智库多位研究员和顾问专门对拜登对台政策提出建议，希望新政府能延续特朗普任内为美台关系注入的新能量，同时也将台湾纳入拜登竞选时曾提出的，将在上任第一年举办“全球民主网络”，以强化民主连结... ", 锺辰芳
2020年12月2日,"
左打“台谍”、右喊清算“台独分子” 中共对台启动反分裂国家法律战
",而两岸之间互探情搜之事也可大可小，在两岸关系和缓时，张荣恭说，确实可以透过“私下沟通”通融... 报告却被以间谍罪入罪，这反映出的是，中国国家主席习近平专制统治下的肃杀氛围和对思想管控红线之紧缩，不仅形塑了中国境内的一言堂，也让在台湾、华府研究两岸事务的智库学人因此忌惮走访中国... 张竞则担心台谍案后两岸交流的前景... , 黄丽玲
2020年12月2日,"
USCC发布年度报告：中国与世界敌对关系达至新高
",报告特别提醒华盛顿关注中国... 在谈到台湾议题方面，报告提到，2020年可被视为是两岸关系的关键之年，中国在香港强行通过实施国家安全法，并在台湾临近区域增加军事行动，说明了北京领导人决心实践政治目标... “我一直以来很担心，当我们谈到台湾时，总是以美中关系的角度来看，但台湾人民一直做的很出色，克服各种障碍，” 美中经济与安全审查委员会主席副主席白嘉玲在回答记者提问时说... , 李逸华
2020年12月2日,"
扰台飞行已成家常便饭 中共军机再次进行扰台飞行
",继11月中共军机加大扰台飞行次数后，在12月的第一天，解放军机又再度现身，飞入台湾西南空域... 台湾空军派遣空中巡逻兵力应对、防空导弹追踪监视，并广播驱离... 台湾国防部在其网站的“即时军事... 台湾前参谋总长李明喜上将日前接受采访时说，虽然中共出动军力也是“被消耗”，但两岸军事资源不对称，中共军机还会继续扰台，台湾有必要思考更聪明的方式防止被消耗，否则买再多的战机都不够... , 赵婉成
2020年12月1日,"
最新民调：66%台湾人认为未来10年中国不可能实现统一台湾
",该杂志表示，美国总统大选大致底定，国际关系进入新常态，这次的年度台湾民心动向大调查针对的是台湾民众对经济以及两岸关系等方面的看法... 在这种氛围下的最新民调显示... 不过，远见杂志指出，值得注意的是，尽管两岸最近频繁摩擦，但反而有64.2%的台湾民众认为两岸应该增加互动，这个比例比去年增加0.6个百分点，只有21.1%的人认为两岸应该减少交流，这个比例比去年略有下降... , 美国之音
2020年11月30日,"
美国在台协会：美国对台湾军售获得两党支持
",郦英杰是星期六出席台湾的中华民国国际关系协会研讨会时做出上述表示的... 重型线导鱼雷等7项对台军售案总金额55亿余美元，进行知会美国国会，美方依据“台湾关系法” 及“六项保证”对台供售防卫性武器，有助于强化台湾整体防卫战力，确保台海及印太区域的和平与... 美国则坚持表示，台湾海峡两岸应当通过和平谈判解决分歧，美国反对单方面通过武力或武力威胁改变台海现状... , 美国之音
2020年11月28日,"
据报台湾将修改陆媒在台新闻采访规定限制制播政论节目
",台湾媒体报道，台湾文化部就中国大陆驻台媒体记者参与制播谈话性节目的情况，将修改大陆记者在台采访注意事项... 陆委会发言人邱垂正星期四表示，如有相关修正，将会尊重主管机关文化部的权责... 在台湾陆委会近日再次点名提醒中国大陆... 其中东南卫视共有５名记者在台驻点，被取消记者证的两名记者违反的是“台湾地区与大陆地区人民关系条例”及“大陆地区新闻人员进入台湾地区采访注意事项”规定... , 美国之音
2020年11月26日,"
台湾以言论自由为傲 为何一家新闻电视台被关？
",台湾吊销了一家有线电视新闻台的电视广播营业执照... 监管机构说，这是因为这家公开支持中国的电视台播出不实报道，并且不理会要他们改革的警告... 这个决定对民主台湾通常允许媒体随心所欲报道的环境设下了一个不寻常的测试... 民进党对与北京的关系保持警惕... 国民党主张就北京提出两岸同属一中的论述，与中国进行对话... 声明中承认该台大股东蔡衍明个人支持认同两岸同属一中的中国-台湾对话进程... , 詹宁斯
2020年11月26日,"
助台打国际盃？美台经济对话“打开全面经济伙伴关系”
","繁荣伙伴对话成果(美国之音锺辰芳拍摄)
美台建立新对话管道
陈正祺说，美台关系非常“深厚、长远和广泛”，此一对话机制的建立是由美国国务院主持，又是由次卿级别官员带头的高阶对话，“表示在美台既有机制上又建立了新的机制、新的对话管道，而且国务院在美国政治体系里具有相对制高点，它看事情是比较全面的、全面的经济伙伴关系... 对于双方在对话中是否... ", 锺辰芳
2020年11月26日,"
中国证实正在编制“台独清单”，台陆委会：清单不会让台湾民众惧怕
",中国证实正在编制一份“台独顽固分子”清单... 中国国台办发言人朱凤莲星期三（11月25日）在例行发布会上表示，这份清单“针对的是极少数‘台独’顽固分子及其金主等主要支持者，绝非针对广大台湾同胞... 观察人士注意到，朱凤莲关于“台独顽固分子”清单针对的是极少数人的说法，让人联想起港版国安法... 台湾陆委会呼吁中国大陆悬崖勒马，切勿因错误的政策而让两岸关系走向无法扭转的不归路, 美国之音
2020年11月25日,"
台教授因间谍罪被判四年，台府称恶意政治炒作
",台湾政府对此表示严厉谴责，称此举严重破坏了两岸关系... 央视在报道中说，施正屏“打着两岸学术交流的旗号”，先后向台湾情报人员介绍多名大陆涉台工作部门人员... 蔡金树是南台湾两岸关系协会联合会的原主席，经常在两岸间行走，从事两岸交流活动... 观察人士指出，中国大陆掀起的这股打击台湾间谍高潮跟两岸关系恶化有密切关系... 陆委会称这一事件是“严重破坏两岸关系的恶意政治炒作... , 美国之音
2020年11月25日,"
特朗普卸任前抗中升级，拜登是否会改弦易辙 美中学者各有说法
",对于中美关系的走向，中国人民大学国际关系教授时殷弘曾在10月初撰文呼吁，中国应该在南中国海等方面，先做出军事收缩，以作为要求下一任美国政府做出相对应收缩的谈判条件... 让步，特别是特朗普政府已宣布其目标是颠覆和消除中国共产党在中国的执政地位，这就全无可能甚至仅在一两个重大问题上显着缓解中美对抗或竞斗，更谈不上中美关系的总体稳定和逆转局面恶化的趋势... , 黄丽玲
2020年11月24日,"
台湾正式启动潜艇自造工程 加强防御中国威胁的能力
",台湾自造潜艇项目在历经四年的筹划准备后星期二（11月24日）在高雄正式启动建造工程... 原型潜艇预订2025年交付海军... 该项目是为了在与大陆军力不对等情况下，加大台湾的国防自主能力，抵御中国不断加剧的敌意与威胁... 台湾总统蔡英文星期二在台湾国际造船... 蔡英文2016年当选台湾总统后，由于她不承认一中原则以及九二共识，北京不断在军事、经济与外交上对台湾施压，两岸关系急剧恶化... , 赵婉成
2020年11月24日,"
美国海军少将到访台湾 中方表示坚决反对
",消息人士报道称一名美国海军少将对台湾进行了非公开访问，这可能是近年来已知到访台湾的美国军方官员中层级最高的一位。另一方面，白宫国安顾问到访菲律宾，表示会维护该国在南中国海争议中的权利。下面请看详细报道。,
2020年11月21日,"
蔡英文谴责网路假信息恶意散播台湾F-16战机投诚中国
",台湾总统蔡英文星期五 (11月20日）强烈谴责特定使用简体字的网民合成、编造F-16战机降落在厦门机场的画面并恶意散播... 这架F-16战机17日执行夜航训练后很快失联，台湾国防部一直... 中国趁人之乱，造谣生事，制造荒谬言论和谎言，极为卑劣，毫无泱泱大国风范，只会贻笑大方；中共操作与多的谣言和攻击，只会凝聚台湾内部团结，恶化对中国的感受，对于缓和两岸关系更无济于事... , 赵婉成
2020年11月20日,"
美国又将派一内阁官员访台 中国称反对任何形式的美台官方往来
",这将是今年8月以来... 说，美国曾于2014年派遣环保署长麦卡锡来台访问，今年阿扎尔部长以及副国务卿克拉奇相继访问台湾，这都彰显台美紧密友好的合作关系，也符合美国两党2018年通过的“台湾旅行法”的精神... 另外，美国共和党联邦参议员图米19日表示，他计划本星期推出新决议案，支持美台自由贸易协议，他还认为华盛顿应该接待台湾总统蔡英文访问美国，进一步深化美台双边外交关系... , 赵婉成
2020年11月20日,"
薛瑞福盼美新政府延续特朗普对台政策
",一个心态的改变，让主管这个地区的副助理部长把台湾视为美国的伙伴有其单独考量，而不是美中关系的附属，这么做除了让台湾能够作为美国的伙伴一起解决地区问题外也有实际作用，它允许副助理部长... 报告建议拜登政府上任后在与国会协商下，以强化彼此经济、政治及军事合作关系的眼光来重新审视当前的对台政策，这包括对中国发出早期信号，表明美国不会容忍任何恫吓或攻击台湾的威胁或行动, 锺辰芳
2020年11月19日,"
美台经济对话前夕 美参议员提议邀蔡英文访华盛顿
",共和党联邦参议员图米（Sen. Pat... 州的图米参议员星期三（11月18日）在出席美国保守派智库传统基金会召开题为“挑战时期下的美台伙伴关系”的研讨会时称，他将台湾视为美国最重要的朋友和伙伴之一，特别是在印太地区... 图米强调，在这样的国际环境下，中国采取的每一步都与美国的安全和福祉密切相关，而台湾正位处于这场较量的矛尖，深化美台之间的各项关系至关重要... , 李逸华
2020年11月19日,"
因应中印边境和台海局势 中国狂买俄制直升机
","在台海局势紧张，中印边界对峙升级之际，中国大规模从俄罗斯采购直升机... 这些直升机被认为可以在台湾海峡、青藏高原和南中国海等地区派上用场... 中国已成为相关型号俄罗斯直升机的最大海外用户... 因应中印边境和台海局势 中国狂买俄制直升机
苏-35，S-400后最大军火交易
2013年莫斯科航展上的苏-35战机（美国之音白桦拍摄... ", 白桦
2020年11月19日,"
参院出新报告聚焦中国 呼吁美欧合作共同应对
","美国国会一份最新发布的... 参议院外交关系委员会主席里施（Sen. Jim Risch, R-ID）星期三与多位欧洲国家议会外交决策领导人召开视讯会议，讨论大西洋两岸共同面对的中国挑战... 组织的完整性；打击不公平的贸易行为和反竞争的经济策略；开发新技术并形塑其使用方式；应对中国利用“一带一路”倡议投资所带来的经济和安全影响；以及深化在非洲和印太地区的跨大西洋伙伴关系", 李逸华
2020年11月19日,"
台陆委会主委吁北京停止胁迫 与台展开对话
",陈明通说，蔡英文总统已重申，维持两岸关系稳定是双方共同责任，“当前两岸关系持续恶化的症结在于中共当局片面设定两岸互动政治前提”，他呼吁北京当局“放弃强加于人的框架，发挥弹性、智慧与创意”，与台湾展开有意义对话... 对此，《新华社》星期三援引中国国台办发言人朱凤莲的话报道说， “‘台独’分裂势力及其活动是台海地区和平稳定的最大威胁，是两岸关系和平发展的最大障碍... , 锺辰芳
2020年11月17日,"
拜登在台湾议题面临的初期考验
","华盛顿现在可能会恢复和以前政府的做法一样，而也那将引起一些担忧，因为那有时候会让台湾比较像是美中关系的附属... 与特朗普政府不同之处
战略与国际研究中心学者葛来仪说，美台关系之所以能在特朗普政府期间有强劲发展，主要原因包括双方利益汇聚、对中国许多行为的担忧，以及台湾民主成就与对全球的贡献，不过这个关系仍然欠缺经济领域的进展，这是拜登上台后可以强化的部分... ", 锺辰芳
2020年11月17日,"
专访余茂春：不管谁当总统，特朗普对华政策理念不可逆转
",一位参与特朗普政府对华政策制定的国务院高级顾问认为... 几十年来中共利用美国自由开放的体制，从政治、经济、文化各方面对美国社会进行渗透，窃取美国的高科技知识产权，造成双边关系严重不平衡... 与中共接触还必须“以结果为导向”，而这也是对过去不平衡双边关系检讨中得出的结论，那些成果甚微的所谓战略对话、高层互动，徒为中共推进自己的议程提供了机会，对美方来说“实际上根本问题... , 方冰
2020年11月14日,"
台外交部：国际声援台湾加入世卫大会的声量再创高峰
",世卫大会闭幕之际，台湾外交部星期六（11月14日）表示，今年新冠疫情肆虐使得国际社会更认同台湾争取加入全球防疫合作机制的必要性，国际间支持台湾参与世界卫生大会（WHA）的声量再创高峰，台湾外交部表示诚挚感谢... 台湾外交部星期六在官网上发布新闻说，在今年5月的世卫大会上，有14个台湾友邦提出邀请台湾以观察员身份出席世卫大会... 这个提案在11月9日开始复会的世卫大会中... , 赵婉成
2020年11月13日,"
“台湾一直不是中国的一部分” 蓬佩奥讲话引起台海两岸不同回应
",张惇涵还说：“在两岸与区域上，我们一贯的主张是，两岸应基于对等尊严原则，共同维护台海和平稳定现状，我们也将持续善尽国际义务，为台海与区域的和平稳定与繁荣发展贡献良善力量... 会上说：“（中方）敦促美方恪守一个中国原则和中美三个联合公报规定，停止任何形式的美台官方接触和军事联系，停止任何损害台海和平稳定和中美关系的言行，不要在错误和危险的道路上越走越远... , 美国之音
2020年11月13日,"
电邮？通话？信函？视讯？电报？蔡英文如何向拜登致贺引猜测
",关于拜登1月20日将就职，台湾是否派祝贺团参加仪式的问题，吴钊燮说，由于疫情的关系，美方这次如何安排目前并不清楚，如果有接到邀请，台湾会派祝贺团参加... 媒体表示，会以最恰当方式向美国选举的胜选团队表达祝贺，“我们跟共和党、民主党都保持非常密切的关系，也都有非常好的友谊，所以不管美国的选举最终结果怎样，我相信我们跟美国的关系会在目前这个非常好的基础上能够持续的加强, 锺辰芳
2020年11月13日,"
蓬佩奥：台湾一直不是中国的一部分
",美国国务卿麦克·蓬佩奥(Michael R. Pompeo)星期四(11月12日)接受美国媒体采访时说：“台湾一直不是中国的一部分... 蓬佩奥接受了电台主持人休... 史达伟当时解释说：“美国的根本利益是台湾问题必须在不受胁迫并以海峡两岸人民都能接受的方式下和平解决，如北京所承诺的... 与此同时美国与台北维持广泛、密切和友好的非官方关系，包括依据《台湾关系法》承诺协助台湾自卫, 美国之音
